author,tags,text
"
    Harper Lee,
  ,
      ",better-life-empathy,"
      “You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”
  "
"
    J.M. Barrie,
  ,
      ","adventure,love","
      “To die will be an awfully big adventure.”
  "
"
    John Green,
  ,
      ","books,reading","
      “Books are the ultimate Dumpees: put them down and they’ll wait for you forever; pay attention to them and they always love you back.”
  "
"
    E.E. Cummings
  ","attributed-no-source,courage","
      “It takes courage to grow up and become who you really are.”
  "
"
    Albert Einstein
  ","attributed-no-source,mistakes","
      “Anyone who has never made a mistake has never tried anything new.”
  "
"
    Jane Austen,
  ,
      ","humor,love,romantic,women","
      “A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”
  "
"
    Linda Grayson
  ","chocolate,friendship","
      “There is nothing better than a friend, unless it is a friend with chocolate.”
  "
"
    Veronica Roth,
  ,
      ","inspirational-quotes,strength-and-courage","
      “We believe in ordinary acts of bravery, in the courage that drives one person to stand up for another.”
  "
"
    Ayn Rand,
  ,
      ",,"
      “[Dean] “My dear fellow, who will let you?”"
"
    Marianne Williamson,
  ,
      ","akeelah,fear,inspirational","
      “Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light, not our darkness that most frightens us. We ask ourselves, 'Who am I to be brilliant, gorgeous, talented, fabulous?' Actually, who are you not to be? You are a child of God. Your playing small does not serve the world. There is nothing enlightened about shrinking so that other people won't feel insecure around you. We are all meant to shine, as children do. We were born to make manifest the glory of God that is within us. It's not just in some of us; it's in everyone. And as we let our own light shine, we unconsciously give other people permission to do the same. As we are liberated from our own fear, our presence automatically liberates others.”
  "
"
    Madeleine L'Engle
  ","books,children,difficult,grown-ups,write,writers,writing","
      “You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”
  "
"
    C.S. Lewis
  ","age,fairytales,growing-up","
      “Some day you will be old enough to start reading fairy tales again.”
  "
"
    Jimi Hendrix,
  ,
      ","death,life","
      “I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”
  "
"
    John Green,
  ,
      ",infinity,"
      “There are infinite numbers between 0 and 1. There's .1 and .12 and .112 and an infinite collection of others. Of course, there is a bigger infinite set of numbers between 0 and 2, or between 0 and a million. Some infinities are bigger than other infinities. A writer we used to like taught us that. There are days, many of them, when I resent the size of my unbounded set. I want more numbers than I'm likely to get, and God, I want more numbers for Augustus Waters than he got. But, Gus, my love, I cannot tell you how thankful I am for our little infinity. I wouldn't trade it for the world. You gave me a forever within the numbered days, and I'm grateful.”
  "
"
    Oscar Wilde,
  ,
      ","books,morality,reading","
      “The books that the world calls immoral are books that show the world its own shame.”
  "
"
    Khaled Hosseini
  ",life,"
      “But better to get hurt by the truth than comforted with a lie.”
  "
"
    Stephen Chbosky,
  ,
      ",infinity,"
      “And in that moment, I swear we were infinite.”
  "
"
    Nicholas Sparks,
  ,
      ","love,marriage","
      “So it's not gonna be easy. It's going to be really hard; we're gonna have to work at this everyday, but I want to do that because I want you. I want all of you, forever, everyday. You and me... everyday.”
  "
"
    Lewis Carroll
  ","alice,humor,inspirational,philosophy-of-life,psychological,yesterday","
      “It’s no use going back to yesterday, because I was a different person then.”
  "
"
    Kurt Vonnegut,
  ,
      ","action,attitude,choice,imagination,inspiration,life,pretend","
      “We are what we pretend to be, so we must be careful about what we pretend to be.”
  "
"
    J.K. Rowling,
  ,
      ",truth,"
      “The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”
  "
"
    George R.R. Martin,
  ,
      ","books,mind","
      “... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”
  "
"
    J.K. Rowling,
  ,
      ",integrity,"
      “Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”
  "
"
    Stephen King,
  ,
      ","books,magic,reading","
      “Books are a uniquely portable magic.”
  "
"
    Oscar Wilde,
  ,
      ",truth,"
      “The truth is rarely pure and never simple.”
  "
"
    C.S. Lewis
  ","christianity,faith,religion,sun","
      “I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”
  "
"
    Mark Twain
  ","death,life","
      “The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”
  "
"
    Charles J. Sykes,
  ,
      ","humor,misattributed-to-bill-gates,nerd,nerds,work","
      “Be nice to nerds. You may end up working for them. We all could.”
  "
"
    Mark Twain
  ","misattributed-mark-twain,truth","
      “A lie can travel half way around the world while the truth is putting on its shoes.”
  "
"
    Sylvia Plath,
  ,
      ","books,life,limits","
      “I can never read all the books I want; I can never be all the people I want and live all the lives I want. I can never train myself in all the skills I want. And why do I want? I want to live and feel all the shades, tones and variations of mental and physical experience possible in my life. And I am horribly limited.”
  "
"
    Nicholas Sparks,
  ,
      ","life,love","
      “Just when you think it can't get any worse, it can. And just when you think it can't get any better, it can.”
  "
"
    Mark Twain
  ",truth,"
      “Never tell the truth to people who are not worthy of it.”
  "
"
    Haruki Murakami,
  ,
      ",memories,"
      “Memories warm you up from the inside. But they also tear you apart.”
  "
"
    Alfred Lord Tennyson,
  ,
      ","love,paraphrase-of-congreve","
      “Tis better to have loved and lost"
"
    J.K. Rowling,
  ,
      ","humor,rebellion,sarcasm","
      “Do you remember me telling you we are practicing non-verbal spells, Potter?"""
"
    Chuck Palahniuk,
  ,
      ","happiness,pain,peace,scar,sweetness","
      “It's so hard to forget pain, but it's even harder to remember sweetness. We have no scar to show for happiness. We learn so little from peace.”
  "
"
    William Shakespeare,
  ,
      ",greatness,"
      “Be not afraid of greatness. Some are born great, some achieve greatness, and others have greatness thrust upon them.”
  "
"
    Aristotle
  ","introspection,self-discovery,wisdom","
      “Knowing yourself is the beginning of all wisdom.”
  "
"
    Maya Angelou,
  ,
      ","1993,advice,complaining,inspirational","
      “What you're supposed to do when you don't like a thing is change it. If you can't change it, change the way you think about it. Don't complain.”
  "
"
    Pablo Neruda,
  ,
      ","love,poetry","
      “I love you as certain dark things are to be loved, "
"
    Nicolas Chamfort
  ",philosophy,"
      “A day without laughter is a day wasted.”
  "
"
    Paulo Coelho,
  ,
      ",inspirational,"
      “It's the possibility of having a dream come true that makes life interesting.”
  "
"
    Dr. Seuss,
  ,
      ",inspirational,"
      “A person's a person, no matter how small.”
  "
"
    Ernest Hemingway,
  ,
      ",happiness,"
      “Happiness in intelligent people is the rarest thing I know.”
  "
"
    Bob Marley
  ","inspirational,love","
      “He’s not perfect. You aren’t either, and the two of you will never be perfect. But if he can make you laugh at least once, causes you to think twice, and if he admits to being human and making mistakes, hold onto him and give him the most you can. He isn’t going to quote poetry, he’s not thinking about you every moment, but he will give you a part of him that he knows you could break. Don’t hurt him, don’t change him, and don’t expect for more than he can give. Don’t analyze. Smile when he makes you happy, yell when he makes you mad, and miss him when he’s not there. Love hard when there is love to be had. Because perfect guys don’t exist, but there’s always one guy that is perfect for you.”
  "
"
    Cassandra Clare,
  ,
      ","books,literature,philosphy,poetry,reading","
      “Only the very weak-minded refuse to be influenced by literature and poetry.”
  "
"
    John Green,
  ,
      ","invincible,teenagers,teens","
      “When adults say, ""Teenagers think they are invincible"" with that sly, stupid smile on their faces, they don't know how right they are. We need never be hopeless, because we can never be irreparably broken. We think that we are invincible because we are. We cannot be born, and we cannot die. Like all energy, we can only change shapes and sizes and manifestations. They forget that when they get old. They get scared of losing and failing. But that part of us greater than the sum of our parts cannot begin and cannot end, and so it cannot fail.”
  "
"
    John Green,
  ,
      ",,"
      “Thomas Edison's last words were """
"
    Cassandra Clare
  ","humor,jace-wayland,simon-lewis","
      “Jesus!"" Luke exclaimed."
"
    Nicholas Sparks,
  ,
      ","dear-john,nicholas-sparks","
      “I finally understood what true love meant...love meant that you care for another person's happiness more than your own, no matter how painful the choices you face might be.”
  "
"
    John Green,
  ,
      ","augustus-waters,hazel,heartbreak,privilege","
      “Oh, I wouldn't mind, Hazel Grace. It would be a privilege to have my heart broken by you.”
  "
"
    Oscar Wilde,
  ,
      ","dreaming,dreams,imagination","
      “Yes: I am a dreamer. For a dreamer is one who can only find his way by moonlight, and his punishment is that he sees the dawn before the rest of the world.”
  "
"
    J.K. Rowling,
  ,
      ",hermione,"
      “Just because you have the emotional range of a teaspoon doesn't mean we all have.”
  "
"
    J.K. Rowling,
  ,
      ",pain,"
      “Numbing the pain for a while will make it worse when you finally feel it.”
  "
"
    Edgar Allan Poe
  ","insanity,sanity","
      “I became insane, with long intervals of horrible sanity.”
  "
"
    Markus Herz
  ","books,health,humor,misattributed-mark-twain,misprints","
      “Be careful about reading health books. Some fine day you'll die of a misprint.”
  "
"
    Ralph Waldo Emerson,
  ,
      ",friends,"
      “It is one of the blessings of old friends that you can afford to be stupid with them.”
  "
"
    Henri Nouwen,
  ,
      ","empathy,friends,friendship,inspirational","
      “When we honestly ask ourselves which person in our lives mean the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand. The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing, not curing, not healing and face with us the reality of our powerlessness, that is a friend who cares.”
  "
"
    Socrates
  ","knowledge,wisdom","
      “The only true wisdom is in knowing you know nothing.”
  "
"
    Chuck Palahniuk,
  ,
      ","life,love","
      “The one you love and the one who loves you are never, ever the same person.”
  "
"
    Terry Johnson,
  ,
      ","humor,misattributed-to-marilyn-monroe,philosophy","
      “Have you ever noticed how ‘What the hell’ is always the right decision to make?”
  "
"
    John Green,
  ,
      ","faith,faithfulness,love,promises","
      “Some people don't understand the promises they're making when they make them,"" I said."
"
    Oscar Wilde
  ","education,fashion","
      “You can never be overdressed or overeducated.”
  "
"
    Mahatma Gandhi
  ","attributed-no-source,conflict,fighting,peace,revenge,trial,violence","
      “An eye for an eye will only make the whole world blind.”
  "
"
    Nicholas Sparks,
  ,
      ","inspirational,the-notebook","
      “You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love.”
  "
"
    Roald Dahl
  ",,"
      “Those who don't believe in magic will never find it.”
  "
"
    Marilyn Monroe
  ",attributed-no-source,"
      “If you're gonna be two-faced at least make one of them pretty.”
  "
"
    Charles W. Eliot
  ","books,friends,reading,teachers","
      “Books are the quietest and most constant of friends; they are the most accessible and wisest of counselors, and the most patient of teachers.”
  "
"
    George Orwell,
  ,
      ",truth,"
      “Perhaps one did not want to be loved so much as to be understood.”
  "
"
    John Green,
  ,
      ","johngreen,lookingforalaska","
      “So I walked back to my room and collapsed on the bottom bunk, thinking that if people were rain, I was drizzle and she was a hurricane.”
  "
"
    Helen Keller
  ",friendship,"
      “I would rather walk with a friend in the dark, than alone in the light.”
  "
"
    Cassandra Clare,
  ,
      ","clary,clothes,jace,wounds","
      “Is this the part where you start tearing off strips of your shirt to bind my wounds?"""
"
    Albert Einstein
  ","life,respect","
      “I speak to everyone in the same way, whether he is the garbage man or the president of the university.”
  "
"
    Harper Lee,
  ,
      ",reading,"
      “Until I feared I would lose it, I never loved to read. One does not love breathing.”
  "
"
    Joe Klaas,
  ,
      ","anger,freedom,misattributed-gloria-steinem,truth","
      “The truth will set you free, but first it will piss you off.”
  "
"
    C.E.M. Joad
  ","creativity,humor,misattributed-to-einstein,paraphrased","
      “Creativity is knowing how to hide your sources”
  "
"
    William Styron,
  ,
      ","books,reading","
      “A great book should leave you with many experiences, and slightly exhausted at the end. You live several lives while reading.”
  "
"
    Lemony Snicket
  ","fate,humor,simile","
      “Fate is like a strange, unpopular restaurant filled with odd little waiters who bring you things you never asked for and don't always like.”
  "
"
    Victor hugo
  ","literature,music,poetry","
      “Music expresses that which cannot be put into words and that which cannot remain silent”
  "
"
    Charles Bukowski,
  ,
      ","humour,misanthropy,paraphrased","
      “Do you hate people?”"
"
    Sarah Dessen,
  ,
      ",friendship,"
      “Life is an awful, ugly place to not have a best friend.”
  "
"
    Rita Mae Brown
  ","humor,insanity","
      “The statistics on sanity are that one out of every four people is suffering from a mental illness. Look at your 3 best friends. If they're ok, then it's you.”
  "
"
    Suzanne Collins,
  ,
      ",peeta,"
      “I wish I could freeze this moment, right here, right now and live in it forever.”
  "
"
    C.S. Lewis
  ","books,children-s-books,reading","
      “A children's story that can only be enjoyed by children is not a good children's story in the slightest.”
  "
"
    Frederick Lewis Donaldson
  ","character,commerce,conscience,happiness,humanity,knowledge,misattributed-to-gandhi,money,morality,pleasure,politics,principle,sacrifice,science,sin,sins,wealth,work,worship","
      “The Seven Social Sins are:"
"
    Stephen King
  ","reading,writing","
      “If you don't have time to read, you don't have the time (or the tools) to write. Simple as that.”
  "
"
    Cassandra Clare,
  ,
      ","clary-fray,demons,growing-up,humor,jace-wayland,luke,teenager","
      “I don't want to be a man,"" said Jace. ""I want to be an angst-ridden teenager who can't confront his own inner demons and takes it out verbally on other people instead."""
"
    Anne Frank,
  ,
      ","activism,life,optimism,philosophy,world","
      “How wonderful it is that nobody need wait a single moment before starting to improve the world.”
  "
"
    Mahatma Gandhi
  ","attributed-no-source,happiness","
      “Happiness is when what you think, what you say, and what you do are in harmony.”
  "
"
    Mark Twain
  ",greatness,"
      “Keep away from people who try to belittle your ambitions. Small people always do that, but the really great make you feel that you, too, can become great.”
  "
"
    Isaac Asimov
  ","life,science,wisdom","
      “The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom.”
  "
"
    George R.R. Martin,
  ,
      ",identity,"
      “Never forget what you are, for surely the world will not. Make it your strength. Then it can never be your weakness. Armour yourself in it, and it will never be used to hurt you.”
  "
"
    J.K. Rowling,
  ,
      ","human,life,value,worth","
      “We're all human, aren't we? Every human life is worth the same, and worth saving.”
  "
"
    Laurel Thatcher Ulrich,
  ,
      ","inspirational,misattributed-eleanor-roosevelt,women","
      “Well-behaved women seldom make history.”
  "
"
    Joseph Conrad,
  ,
      ",women,"
      “Being a woman is a terribly difficult trade since it consists principally of dealings with men.”
  "
"
    Albert Camus
  ","attributed-no-source,happiness,meaning-of-life","
      “You will never be happy if you continue to search for what happiness consists of. You will never live if you are looking for the meaning of life.”
  "
"
    Charlotte Brontë,
  ,
      ","character,empowerment,flaws,freedom,gender,identity,image,independence,integrity,realism,self-awareness,self-determination,women","
      “I am no bird; and no net ensnares me: I am a free human being with an independent will.”
  "
"
    Lisa Kleypas,
  ,
      ","love,relationships,romance","
      “I no longer believed in the idea of soul mates, or love at first sight. But I was beginning to believe that a very few times in your life, if you were lucky, you might meet someone who was exactly right for you. Not because he was perfect, or because you were, but because your combined flaws were arranged in a way that allowed two separate beings to hinge together.”
  "
"
    Terry Pratchett,
  ,
      ","humor,proverb","
      “Give a man a fire and he's warm for a day, but set fire to him and he's warm for the rest of his life.”
  "
"
    John Green,
  ,
      ",,"
      “The world is not a wish-granting factory.”
  "
"
    Marlene Dietrich
  ",attributed-no-source,"
      “It's the friends you can call up at 4 a.m. that matter.”
  "
"
    Paulo Coelho,
  ,
      ","hope,inspiration,love,santiago","
      “When we love, we always strive to become better than we are. When we strive to become better than we are, everything around us becomes better too.”
  "
"
    Nicholas Sparks,
  ,
      ",,"
      “Sometimes you have to be apart from people you love, but that doesn't make you love them any less. Sometimes you love them more.”
  "
"
    Marilyn Monroe
  ","alone,attributed-no-source","
      “It's far better to be unhappy alone than unhappy with someone — so far.”
  "
"
    Veronica Roth,
  ,
      ","dauntless,divergent,fearless,four,tris","
      “Becoming fearless isn't the point. That's impossible. It's learning how to control your fear, and how to be free from it.”
  "
"
    Roald Dahl
  ","believe,glittering-eyes,hidden,magic,secrets,unlikely-places,watch,world","
      “And above all, watch with glittering eyes the whole world around you because the greatest secrets are always hidden in the most unlikely places. Those who don't believe in magic will never find it.”
  "
"
    Paulo Coelho,
  ,
      ",love,"
      “One is loved because one is loved. No reason is needed for loving.”
  "
"
    Robert Frost
  ","choice,poetry","
      “The Road Not Taken"
"
    George Harrison
  ","life,paraphrase-of-lewis-carroll","
      “If you don't know where you're going, any road'll take you there”
  "
"
    Stephen Chbosky,
  ,
      ",happiness,"
      “There's nothing like deep breaths after laughing that hard. Nothing in the world like a sore stomach for the right reasons.”
  "
"
    Suzanne Collins,
  ,
      ",truth,"
      “I am not pretty. I am not beautiful. I am as radiant as the sun.”
  "
"
    Rick Riordan,
  ,
      ",nico,"
      “With great power... comes great need to take a nap. Wake me up later.”
  "
"
    C.S. Lewis
  ","god,world","
      “If we find ourselves with a desire that nothing in this world can satisfy, the most probable explanation is that we were made for another world.”
  "
"
    John Green
  ","breaking-up,lost-love","
      “You can love someone so much...But you can never love people as much as you can miss them.”
  "
"
    Leo Tolstoy
  ","change,tolstoy","
      “Everyone thinks of changing the world, but no one thinks of changing himself.”
  "
"
    Mahatma Gandhi
  ","despair,evil,goodness,inspirational,love,sadness,truth,victory","
      “When I despair, I remember that all through history the way of truth and love have always won. There have been tyrants and murderers, and for a time, they can seem invincible, but in the end, they always fall. Think of it--always.”
  "
"
    J.R.R. Tolkien,
  ,
      ","family,friends,parties,social","
      “I don't know half of you half as well as I should like; and I like less than half of you half as well as you deserve.”
  "
"
    Sarah Dessen,
  ,
      ",love,"
      “Love is needing someone. Love is putting up with someone's bad qualities because they somehow complete you.”
  "
"
    Audrey Hepburn
  ","attributed-no-source,inspirational","
      “Nothing is impossible, the word itself says 'I'm possible'!”
  "
"
    F. Scott Fitzgerald,
  ,
      ","book,inspirational","
      “So we beat on, boats against the current, borne back ceaselessly into the past.”
  "
"
    Chuck Palahniuk,
  ,
      ","god,humor,life","
      “All God does is watch us and kill us when we get boring. We must never, ever be boring.”
  "
"
    Jodi Picoult,
  ,
      ","disappointment,loneliness,loner,solitude","
      “Let me tell you this: if you meet a loner, no matter what they tell you, it's not because they enjoy solitude. It's because they have tried to blend into the world before, and people continue to disappoint them.”
  "
"
    John Green,
  ,
      ",,"
      “What is the point of being alive if you don't at least try to do something remarkable?”
  "
"
    Virginia Woolf,
  ,
      ","freedom,women,writing","
      “Lock up your libraries if you like; but there is no gate, no lock, no bolt that you can set upon the freedom of my mind.”
  "
"
    John Green,
  ,
      ",paper-towns,"
      “What a treacherous thing to believe that a person is more than a person.”
  "
"
    Anonymous,
  ,
      ","bible,love","
      “Love is patient, love is kind. It does not envy, it does not boast, it is not proud. It is not rude, it is not self-seeking, it is not easily angered, it keeps no record of wrongs. Love does not delight in evil but rejoices with the truth. It always protects, always trusts, always hopes, always perseveres.”
  "
"
    Henry Wadsworth Longfellow
  ","coldness,depression,happiness,life,sad,sadness,sorrow","
      “Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad.”
  "
"
    J.K. Rowling,
  ,
      ",wit,"
      “Wit beyond measure is man’s greatest treasure.”
  "
"
    Ray Bradbury
  ","culture,reading","
      “You don't have to burn books to destroy a culture. Just get people to stop reading them.”
  "
"
    H.N. Turteltaub,
  ,
      ","misattributed-cassandra-clare,misattributed-jace","
      “If you were half as funny as you think you are, you'd be twice as funny as you really are.”
  "
"
    Robert Frost
  ","love,poetry","
      “We love the things we love for what they are.”
  "
"
    Herbert Bayard Swope
  ","failure,inspirational,misattributed-bill-cosby,success","
      “I can't give you a sure-fire formula for success, but I can give you a formula for failure: try to please everybody all the time.”
  "
"
    George V. Higgins,
  ,
      ","humor,life,misattributed-john-wayne","
      “This life’s hard, but it’s harder if you’re stupid.”
  "
"
    Eleanor Roosevelt
  ",inspirational,"
      “Do what you feel in your heart to be right – for you’ll be criticized anyway.”
  "
"
    Douglas Adams
  ","attributed-no-source,humor,misattributed-douglas-adams,wit","
      “I refuse to answer that question on the grounds that I don't know the answer”
  "
"
    Jack Kerouac,
  ,
      ","freethinker,inspirational,mad","
      “[...]the only people for me are the mad ones, the ones who are mad to live, mad to talk, mad to be saved, desirous of everything at the same time, the ones who never yawn or say a commonplace thing, but burn, burn, burn like fabulous yellow roman candles exploding like spiders across the stars and in the middle you see the blue centerlight pop and everybody goes “Awww!”
  "
"
    John Green
  ",vlog,"
      “Maybe our favorite quotations say more about us than about the stories and people we're quoting.”
  "
"
    Suzanne Collins,
  ,
      ","falling-apart,giving-in","
      “It takes ten times as long to put yourself back together as it does to fall apart.”
  "
"
    Jonathan Safran Foer,
  ,
      ",life,"
      “Sometimes I can hear my bones straining under the weight of all the lives I'm not living.”
  "
"
    Paulo Coelho,
  ,
      ","achievement,dreams,failure,fear","
      “There is only one thing that makes a dream impossible to achieve: the fear of failure.”
  "
"
    Jane Austen,
  ,
      ","love,mr-darcy","
      “In vain have I struggled. It will not do. My feelings will not be repressed. You must allow me to tell you how ardently I admire and love you.”
  "
"
    Stephen Chbosky,
  ,
      ",love,"
      “I would die for you. But I won't live for you.”
  "
"
    Neil Gaiman
  ",,"
      “May your coming year be filled with magic and dreams and good madness. I hope you read some fine books and kiss someone who thinks you're wonderful, and don't forget to make some art -- write or draw or build or sing or live as only you can. And I hope, somewhere in the next year, you surprise yourself.”
  "
"
    Rainer Maria Rilke,
  ,
      ",love,"
      “Perhaps all the dragons in our lives are princesses who are only waiting to see us act, just once, with beauty and courage. Perhaps everything that frightens us is, in its deepest essence, something helpless that wants our love.”
  "
"
    Neil Gaiman,
  ,
      ",inspiration,"
      “Sometimes you wake up. Sometimes the fall kills you. And sometimes, when you fall, you fly.”
  "
"
    Dalai Lama XIV
  ","happiness,inspirational","
      “Happiness is not something ready made. It comes from your own actions.”
  "
"
    J.K. Rowling,
  ,
      ","dumbledore,strength,unity","
      “We are only as strong as we are united, as weak as we are divided.”
  "
"
    Mahatma Gandhi,
  ,
      ","forgiveness,strength,weakness","
      “The weak can never forgive. Forgiveness is the attribute of the strong.”
  "
"
    John Lennon
  ","happiness,timelessness,wisdom","
      “Count your age by friends, not years. Count your life by smiles, not tears.”
  "
"
    Mitch Albom,
  ,
      ","death,life","
      “Death ends a life, not a relationship.”
  "
"
    Mother Teresa
  ","inspirational,peace,smile,smiling","
      “Peace begins with a smile..”
  "
"
    Cassandra Clare,
  ,
      ","clary-fray,jace,magnus-bane","
      “We came to see Jace. Is he alright?"""
"
    Paulo Coelho,
  ,
      ",love,"
      “So, I love you because the entire universe conspired to help me find you.”
  "
"
    J.K. Rowling,
  ,
      ","humanity,kindness,relationships","
      “Indifference and neglect often do much more damage than outright dislike.”
  "
"
    E.E. Cummings
  ","love,poetry","
      “I carry your heart with me (I carry it in my heart)I am never without it (anywhere"
"
    J.K. Rowling,
  ,
      ","harry-potter,humor,james-potter,remus-lupin,sirius-black,snape,wormtail","
      “Mr. Moony presents his compliments to Professor Snape, and begs him to keep his abnormally large nose out of other people's business."
"
    Margaret Mead
  ","activism,attributed-no-source,change,inspirational,life,philosophy,world","
      “Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.”
  "
"
    J.K. Rowling,
  ,
      ","humor,shampoo","
      “He can run faster than Severus Snape confronted with shampoo.”
  "
"
    Nicholas Sparks,
  ,
      ","friends,judgement","
      “You're going to come across people in your life who will say all the right words at all the right times. But in the end, it's always their actions you should judge them by. It's actions, not words, that matter.”
  "
"
    Edgar Allan Poe
  ","dreaming,dreams,perception","
      “All that we see or seem is but a dream within a dream.”
  "
"
    Gustave Flaubert
  ","books,inspirational,life,reading","
      “Do not read, as children do, to amuse yourself, or like the ambitious, for the purpose of instruction. No, read in order to live.”
  "
"
    J.K. Rowling,
  ,
      ","biscuit,humor,rebellion","
      “Is it true that you shouted at Professor Umbridge?"""
"
    John Green,
  ,
      ",inspirational,"
      “Imagining the future is a kind of nostalgia. (...) You spend your whole life stuck in the labyrinth, thinking about how you'll escape it one day, and how awesome it will be, and imagining that future keeps you going, but you never do it. You just use the future to escape the present.”
  "
"
    C.S. Lewis
  ","christianity,god,religion","
      “The Christian does not think God will love us because we are good, but that God will make us good because He loves us.”
  "
"
    Nicholas Sparks,
  ,
      ",love,"
      “You are, and always have been, my dream.”
  "
"
    Langston Hughes
  ","dreams,hope,inspiration,knowledge,wisdom","
      “Hold fast to dreams,"
"
    Oscar Wilde,
  ,
      ","identity,opinions","
      “Most people are other people. Their thoughts are someone else's opinions, their lives a mimicry, their passions a quotation.”
  "
"
    Markus Zusak,
  ,
      ","boys,hate,love","
      “The only thing worse than a boy who hates you: a boy that loves you.”
  "
"
    Albert Einstein
  ","humor,science","
      “Never memorize something that you can look up.”
  "
"
    Nicholas Sparks,
  ,
      ","friendship,love","
      “You are my best friend as well as my lover, and I do not know which side of you I enjoy the most. I treasure each side, just as I have treasured our life together.”
  "
"
    Oscar Wilde
  ","love,ordinary,people","
      “Never love anyone who treats you like you're ordinary.”
  "
"
    Stephen Chbosky,
  ,
      ",the-perks-of-being-a-wallflower,"
      “So, I guess we are who we are for alot of reasons. And maybe we'll never know most of them. But even if we don't have the power to choose where we come from, we can still choose where we go from there. We can still do things. And we can try to feel okay about them.”
  "
"
    Sarah Dessen,
  ,
      ",inspirational-quotes,"
      “Don't think or judge, just listen.”
  "
"
    Ralph Waldo Emerson
  ",inspirational,"
      “What lies behind us and what lies before us are tiny matters compared to what lies within us.”
  "
"
    Stephenie Meyer,
  ,
      ","bella-swan,dreams,edward,hope,night,stars","
      “I like the night. Without the dark, we'd never see the stars.”
  "
"
    J.R.R. Tolkien,
  ,
      ","encouragement,gandalf","
      “All we have to decide is what to do with the time that is given us.”
  "
"
    Michael Cunningham,
  ,
      ","life,peace","
      “You cannot find peace by avoiding life.”
  "
"
    Sam Levenson,
  ,
      ","beauty,charity,inspirational,kindness,misattributed-audrey-hepburn","
      “For attractive lips, speak words of kindness."
"
    John Green,
  ,
      ","change,grief,loss,revelation","
      “Grief does not change you, Hazel. It reveals you.”
  "
"
    Cassandra Clare,
  ,
      ","clary-fray,ebay,jace-wayland,myth","
      “Don't touch any of my weapons without my permission."""
"
    Cassandra Clare,
  ,
      ","cassandra-clare,city-of-glass,clary,jace,love,mortal-instruments","
      “And now I’m looking at you,” he said, “and you’re asking me if I still want you, as if I could stop loving you. As if I would want to give up the thing that makes me stronger than anything else ever has. I never dared give much of myself to anyone before – bits of myself to the Lightwoods, to Isabelle and Alec, but it took years to do it – but, Clary, since the first time I saw you, I have belonged to you completely. I still do. If you want me.”
  "
"
    Mark Twain
  ","bookroom,books,libraries,wisdom","
      “In a good bookroom you feel in some mysterious way that you are absorbing the wisdom contained in all the books through your skin, without even opening them.”
  "
"
    Kurt Vonnegut
  ","humour,telekinetics","
      “Those who believe in telekinetics, raise my hand.”
  "
"
    Suzanne Collins,
  ,
      ",the-hunger-games,"
      “Happy Hunger Games! And may the odds be ever in your favor.”
  "
"
    Kahlil Gibran,
  ,
      ","philosophy,poetry","
      “You talk when you cease to be at peace with your thoughts.”
  "
"
    Carter Crocker
  ",misattributed-a-a-milne,"
      “Promise me you'll always remember: You're braver than you believe, and stronger than you seem, and smarter than you think.”
  "
"
    Carter Crocker
  ",confidence,"
      “If ever there is tomorrow when we're not together... there is something you must always remember. You are braver than you believe, stronger than you seem, and smarter than you think. But the most important thing is, even if we're apart... I'll always be with you.”
  "
"
    Christian D. Larson,
  ,
      ","happiness,inspirational,love,optimism,strength","
      “Promise Yourself"
"
    Groucho Marx
  ","friends,humor,jail","
      “When you're in jail, a good friend will be trying to bail you out. A best friend will be in the cell next to you saying, 'Damn, that was fun'.”
  "
"
    C.S. Lewis,
  ,
      ","friendship,inspirational","
      “Friendship is unnecessary, like philosophy, like art.... It has no survival value; rather it is one of those things which give value to survival.”
  "
"
    Louise Erdrich,
  ,
      ","heartbreak,life,living,love,strength","
      “Life will break you. Nobody can protect you from that, and living alone won't either, for solitude will also break you with its yearning. You have to love. You have to feel. It is the reason you are here on earth. You are here to risk your heart. You are here to be swallowed up. And when it happens that you are broken, or betrayed, or left, or hurt, or death brushes near, let yourself sit by an apple tree and listen to the apples falling all around you in heaps, wasting their sweetness. Tell yourself you tasted as many as you could.”
  "
